
           alphabet                  assay    cv_acc    cv_auc  f1_score   f_score  mhc   neg_acc  ngram   pos_acc
39            sdm12           cytotoxicity  0.699440  0.758705  0.505495  0.794872    1  0.812500      2  0.885714
40            sdm12           cytotoxicity  0.698121  0.756118  0.505495  0.758294    2  0.750000      2  0.914286
41            sdm12           cytotoxicity  0.697131  0.755084  0.505495  0.758294  NaN  0.750000      2  0.914286
46             None           cytotoxicity  0.710016  0.793932  0.505495  0.743590    2  0.770833      2  0.828571
34   hp_vs_aromatic           cytotoxicity  0.688246  0.739521  0.505495  0.734597    2  0.729167      3  0.885714
47             None           cytotoxicity  0.709382  0.791553  0.505495  0.732984  NaN  0.770833      2  0.800000
25            gbmr4           cytotoxicity  0.678411  0.752822  0.505495  0.728643    2  0.750000      3  0.828571
24            gbmr4           cytotoxicity  0.683440  0.751633  0.505495  0.728643    1  0.750000      3  0.828571
35   hp_vs_aromatic           cytotoxicity  0.680700  0.739409  0.505495  0.724638  NaN  0.729167      3  0.857143
26            gbmr4           cytotoxicity  0.685764  0.754005  0.505495  0.717949  NaN  0.750000      3  0.800000
31   hp_vs_aromatic           cytotoxicity  0.648527  0.711415  0.505495  0.714286    2  0.729167      2  0.828571
37            sdm12           cytotoxicity  0.653911  0.713568  0.505495  0.710383    2  0.770833      1  0.742857
45             None           cytotoxicity  0.711288  0.792838  0.505495  0.700483    1  0.708333      2  0.828571
33   hp_vs_aromatic           cytotoxicity  0.687452  0.737650  0.505495  0.700483    1  0.708333      3  0.828571
32   hp_vs_aromatic           cytotoxicity  0.654886  0.709448  0.505495  0.700483  NaN  0.708333      2  0.828571
22            gbmr4           cytotoxicity  0.684986  0.739941  0.505495  0.692641    2  0.645833      2  0.914286
30   hp_vs_aromatic           cytotoxicity  0.654886  0.711388  0.505495  0.687204    1  0.687500      2  0.828571
38            sdm12           cytotoxicity  0.655889  0.712406  0.505495  0.680628  NaN  0.729167      1  0.742857
23            gbmr4           cytotoxicity  0.675314  0.739956  0.505495  0.672646  NaN  0.645833      2  0.857143
43             None           cytotoxicity  0.689983  0.767609  0.505495  0.662100    2  0.645833      1  0.828571
36            sdm12           cytotoxicity  0.648959  0.710691  0.505495  0.639810    1  0.645833      1  0.771429
21            gbmr4           cytotoxicity  0.675311  0.740594  0.505495  0.639810    1  0.645833      2  0.771429
42             None           cytotoxicity  0.693798  0.770989  0.505495  0.639269    1  0.625000      1  0.800000
6               hp2           cytotoxicity  0.696720  0.768898  0.505495  0.637450    1  0.541667      3  0.914286
4               hp2           cytotoxicity  0.682681  0.760828  0.505495  0.636704    2  0.500000      2  0.971429
16        aromatic2           cytotoxicity  0.708333  0.794992  0.505495  0.636364    2  0.479167      3  1.000000
15        aromatic2           cytotoxicity  0.710938  0.799682  0.505495  0.636364    1  0.479167      3  1.000000
7               hp2           cytotoxicity  0.705500  0.772267  0.505495  0.627451    2  0.520833      3  0.914286
8               hp2           cytotoxicity  0.703743  0.771503  0.505495  0.627451  NaN  0.520833      3  0.914286
17        aromatic2           cytotoxicity  0.713542  0.798569  0.505495  0.627306  NaN  0.479167      3  0.971429
3               hp2           cytotoxicity  0.687368  0.758766  0.505495  0.618182    1  0.458333      2  0.971429
18            gbmr4           cytotoxicity  0.655185  0.712091  0.505495  0.617761    1  0.500000      1  0.914286
19            gbmr4           cytotoxicity  0.657122  0.715594  0.505495  0.617761    2  0.500000      1  0.914286
20            gbmr4           cytotoxicity  0.659059  0.715617  0.505495  0.617530  NaN  0.520833      1  0.885714
29   hp_vs_aromatic           cytotoxicity  0.658465  0.704385  0.505495  0.617284  NaN  0.541667      1  0.857143
28   hp_vs_aromatic           cytotoxicity  0.654493  0.703647  0.505495  0.607843    2  0.500000      1  0.885714
5               hp2           cytotoxicity  0.684443  0.766036  0.505495  0.600707  NaN  0.416667      2  0.971429
44             None           cytotoxicity  0.693162  0.770235  0.505495  0.585774  NaN  0.520833      1  0.800000
12        aromatic2           cytotoxicity  0.716146  0.800706  0.505495  0.577558    1  0.333333      2  1.000000
14        aromatic2           cytotoxicity  0.717448  0.801515  0.505495  0.570033  NaN  0.312500      2  1.000000
13        aromatic2           cytotoxicity  0.701823  0.800752  0.505495  0.570033    2  0.312500      2  1.000000
27   hp_vs_aromatic           cytotoxicity  0.650521  0.701353  0.505495  0.561798    1  0.416667      1  0.857143
0               hp2           cytotoxicity  0.666877  0.762967  0.505495  0.548589    1  0.250000      1  1.000000
11        aromatic2           cytotoxicity  0.680990  0.796239  0.505495  0.537459  NaN  0.270833      1  0.942857
9         aromatic2           cytotoxicity  0.695312  0.794893  0.505495  0.537459    1  0.270833      1  0.942857
2               hp2           cytotoxicity  0.672143  0.763347  0.505495  0.530547  NaN  0.250000      1  0.942857
1               hp2           cytotoxicity  0.667461  0.765501  0.505495  0.530547    2  0.250000      1  0.942857
10        aromatic2           cytotoxicity  0.678385  0.798957  0.505495  0.528053    2  0.270833      1  0.914286
88            sdm12                   None  0.688658  0.767557  0.505495  0.481100    2  0.250000      2  0.800000
89            sdm12                   None  0.690288  0.766969  0.505495  0.463918  NaN  0.229167      2  0.771429
77   hp_vs_aromatic                   None  0.613357  0.633830  0.505495  0.458167  NaN  0.354167      1  0.657143
93             None                   None  0.726333  0.815098  0.505495  0.450980    1  0.333333      2  0.657143
94             None                   None  0.725591  0.814704  0.505495  0.446809    2  0.395833      2  0.600000
87            sdm12                   None  0.693114  0.766659  0.505495  0.446735    1  0.208333      2  0.742857
143            None  cytokine release IFNg  0.732266  0.809011  0.505495  0.444015  NaN  0.312500      2  0.657143
141            None  cytokine release IFNg  0.731828  0.808981  0.505495  0.444015    1  0.312500      2  0.657143
125  hp_vs_aromatic  cytokine release IFNg  0.604056  0.613781  0.505495  0.438247  NaN  0.333333      1  0.628571
139            None  cytokine release IFNg  0.703240  0.770731  0.505495  0.437262    2  0.291667      1  0.657143
142            None  cytokine release IFNg  0.731766  0.809145  0.505495  0.431373    2  0.312500      2  0.628571
136           sdm12  cytokine release IFNg  0.692401  0.761511  0.505495  0.430108    2  0.229167      2  0.685714
95             None                   None  0.724107  0.814155  0.505495  0.425101  NaN  0.333333      2  0.600000
134           sdm12  cytokine release IFNg  0.649290  0.690616  0.505495  0.423729  NaN  0.166667      1  0.714286
76   hp_vs_aromatic                   None  0.611222  0.632909  0.505495  0.418327    2  0.312500      1  0.600000
85            sdm12                   None  0.651704  0.693859  0.505495  0.418182    2  0.229167      1  0.657143
68            gbmr4                   None  0.612643  0.671164  0.505495  0.418118  NaN  0.187500      1  0.685714
135           sdm12  cytokine release IFNg  0.692529  0.760458  0.505495  0.418118    1  0.187500      2  0.685714
132           sdm12  cytokine release IFNg  0.649354  0.688255  0.505495  0.418060    1  0.145833      1  0.714286
133           sdm12  cytokine release IFNg  0.648138  0.688795  0.505495  0.418060    2  0.145833      1  0.714286
67            gbmr4                   None  0.611751  0.667994  0.505495  0.412371    2  0.166667      1  0.685714
84            sdm12                   None  0.649584  0.695514  0.505495  0.406360    1  0.187500      1  0.657143
137           sdm12  cytokine release IFNg  0.692785  0.758858  0.505495  0.406360  NaN  0.187500      2  0.657143
90             None                   None  0.699671  0.775026  0.505495  0.405904    1  0.229167      1  0.628571
58        aromatic2                   None  0.763531  0.735417  0.505495  0.402477    2  0.041667      1  0.742857
59        aromatic2                   None  0.772048  0.735434  0.505495  0.402477  NaN  0.041667      1  0.742857
86            sdm12                   None  0.651269  0.695475  0.505495  0.400697  NaN  0.166667      1  0.657143
49              hp2                   None  0.684202  0.664906  0.505495  0.398406    2  0.291667      1  0.571429
124  hp_vs_aromatic  cytokine release IFNg  0.604225  0.615329  0.505495  0.398406    2  0.291667      1  0.571429
50              hp2                   None  0.707480  0.662140  0.505495  0.398406  NaN  0.291667      1  0.571429
115           gbmr4  cytokine release IFNg  0.609318  0.661921  0.505495  0.394265    2  0.187500      1  0.628571
92             None                   None  0.701685  0.775294  0.505495  0.393258  NaN  0.229167      1  0.600000
105       aromatic2  cytokine release IFNg  0.814815  0.757951  0.505495  0.391850    1  0.041667      1  0.714286
57        aromatic2                   None  0.771619  0.733675  0.505495  0.391850    1  0.041667      1  0.714286
107       aromatic2  cytokine release IFNg  0.814314  0.760783  0.505495  0.391850  NaN  0.041667      1  0.714286
106       aromatic2  cytokine release IFNg  0.812312  0.751116  0.505495  0.391850    2  0.041667      1  0.714286
75   hp_vs_aromatic                   None  0.616229  0.632257  0.505495  0.389610    1  0.354167      1  0.514286
69            gbmr4                   None  0.626580  0.669347  0.505495  0.381818    1  0.187500      2  0.600000
60        aromatic2                   None  0.694511  0.740810  0.505495  0.380952    1  0.041667      2  0.685714
74            gbmr4                   None  0.643356  0.696669  0.505495  0.380228  NaN  0.229167      3  0.571429
123  hp_vs_aromatic  cytokine release IFNg  0.594501  0.614380  0.505495  0.372549    1  0.250000      1  0.542857
117           gbmr4  cytokine release IFNg  0.626225  0.654021  0.505495  0.369004    1  0.187500      2  0.571429
138            None  cytokine release IFNg  0.704617  0.772964  0.505495  0.369004    1  0.187500      1  0.571429
66            gbmr4                   None  0.610697  0.669783  0.505495  0.363636    1  0.166667      1  0.571429
140            None  cytokine release IFNg  0.704867  0.772779  0.505495  0.363636  NaN  0.166667      1  0.571429
91             None                   None  0.702321  0.775160  0.505495  0.363636    2  0.166667      1  0.571429
63        aromatic2                   None  0.665950  0.706680  0.505495  0.363036    1  0.062500      3  0.628571
72            gbmr4                   None  0.641492  0.698549  0.505495  0.361217    1  0.208333      3  0.542857
78   hp_vs_aromatic                   None  0.606288  0.643536  0.505495  0.358566    1  0.250000      2  0.514286
82   hp_vs_aromatic                   None  0.622487  0.675932  0.505495  0.358423    2  0.145833      3  0.571429
128  hp_vs_aromatic  cytokine release IFNg  0.606934  0.631785  0.505495  0.358423  NaN  0.145833      2  0.571429
127  hp_vs_aromatic  cytokine release IFNg  0.602790  0.632083  0.505495  0.358423    2  0.145833      2  0.571429
64        aromatic2                   None  0.668080  0.707550  0.505495  0.355932    2  0.083333      3  0.600000
131  hp_vs_aromatic  cytokine release IFNg  0.617335  0.656513  0.505495  0.353357  NaN  0.125000      3  0.571429
130  hp_vs_aromatic  cytokine release IFNg  0.618435  0.657377  0.505495  0.353357    2  0.125000      3  0.571429
118           gbmr4  cytokine release IFNg  0.623247  0.655097  0.505495  0.352941    2  0.229167      2  0.514286
70            gbmr4                   None  0.627066  0.667575  0.505495  0.352941    2  0.229167      2  0.514286
65        aromatic2                   None  0.674898  0.714865  0.505495  0.351171  NaN  0.062500      3  0.600000
79   hp_vs_aromatic                   None  0.599293  0.642672  0.505495  0.350554    2  0.166667      2  0.542857
119           gbmr4  cytokine release IFNg  0.625552  0.652923  0.505495  0.350554  NaN  0.166667      2  0.542857
73            gbmr4                   None  0.647813  0.697136  0.505495  0.350554    2  0.166667      3  0.542857
122           gbmr4  cytokine release IFNg  0.643228  0.687175  0.505495  0.347490  NaN  0.208333      3  0.514286
114           gbmr4  cytokine release IFNg  0.611623  0.662684  0.505495  0.342205    1  0.187500      1  0.514286
71            gbmr4                   None  0.630632  0.671065  0.505495  0.342205  NaN  0.187500      2  0.514286
80   hp_vs_aromatic                   None  0.603711  0.641666  0.505495  0.338645  NaN  0.229167      2  0.485714
116           gbmr4  cytokine release IFNg  0.603842  0.662294  0.505495  0.337079  NaN  0.166667      1  0.514286
126  hp_vs_aromatic  cytokine release IFNg  0.608710  0.630951  0.505495  0.335689    1  0.104167      2  0.542857
62        aromatic2                   None  0.683003  0.735719  0.505495  0.334448  NaN  0.041667      2  0.571429
129  hp_vs_aromatic  cytokine release IFNg  0.615221  0.654378  0.505495  0.332103    1  0.145833      3  0.514286
120           gbmr4  cytokine release IFNg  0.646013  0.686270  0.505495  0.328185    1  0.187500      3  0.485714
83   hp_vs_aromatic                   None  0.624107  0.677386  0.505495  0.327273  NaN  0.125000      3  0.514286
121           gbmr4  cytokine release IFNg  0.643132  0.685928  0.505495  0.313725    2  0.187500      3  0.457143
81   hp_vs_aromatic                   None  0.625727  0.676206  0.505495  0.313653    1  0.125000      3  0.485714
113       aromatic2  cytokine release IFNg  0.682683  0.741484  0.505495  0.309278  NaN  0.041667      3  0.514286
112       aromatic2  cytokine release IFNg  0.700701  0.738692  0.505495  0.296167    2  0.041667      3  0.485714
111       aromatic2  cytokine release IFNg  0.691692  0.742403  0.505495  0.282686    1  0.041667      3  0.457143
96              hp2  cytokine release IFNg  0.717624  0.647342  0.505495  0.279070    1  0.312500      1  0.342857
61        aromatic2                   None  0.688543  0.735264  0.505495  0.268817    2  0.041667      2  0.428571
48              hp2                   None  0.700031  0.664508  0.505495  0.265700    1  0.333333      1  0.314286
108       aromatic2  cytokine release IFNg  0.724725  0.769201  0.505495  0.254545    1  0.041667      2  0.400000
51              hp2                   None  0.654718  0.669900  0.505495  0.246914    1  0.166667      2  0.342857
109       aromatic2  cytokine release IFNg  0.726226  0.764182  0.505495  0.224719    2  0.041667      2  0.342857
56              hp2                   None  0.629112  0.669962  0.505495  0.215686  NaN  0.083333      3  0.314286
54              hp2                   None  0.631906  0.667284  0.505495  0.202429    1  0.104167      3  0.285714
55              hp2                   None  0.637182  0.667934  0.505495  0.202429    2  0.104167      3  0.285714
53              hp2                   None  0.668218  0.672590  0.505495  0.185185  NaN  0.104167      2  0.257143
100             hp2  cytokine release IFNg  0.663991  0.680689  0.505495  0.182186    2  0.083333      2  0.257143
99              hp2  cytokine release IFNg  0.671286  0.680524  0.505495  0.179283    1  0.062500      2  0.257143
101             hp2  cytokine release IFNg  0.671653  0.680013  0.505495  0.164609  NaN  0.083333      2  0.228571
52              hp2                   None  0.654718  0.671305  0.505495  0.164609    2  0.083333      2  0.228571
97              hp2  cytokine release IFNg  0.722725  0.652582  0.505495  0.163934    2  0.354167      1  0.171429
98              hp2  cytokine release IFNg  0.732943  0.647015  0.505495  0.163934  NaN  0.354167      1  0.171429
102             hp2  cytokine release IFNg  0.640278  0.663403  0.505495  0.144033    1  0.062500      3  0.200000
104             hp2  cytokine release IFNg  0.642467  0.661781  0.505495  0.144033  NaN  0.062500      3  0.200000
103             hp2  cytokine release IFNg  0.641554  0.664057  0.505495  0.123457    2  0.041667      3  0.171429
110       aromatic2  cytokine release IFNg  0.714715  0.766721  0.505495  0.064935  NaN  0.041667      2  0.085714
